id,gender,occupation_type,avg_work_hours_per_day,avg_rest_hours_per_day,avg_sleep_hours_per_day,avg_exercise_hours_per_day,age_at_death
11286,Male,Entrepreneur,12.57,4.31,6.53,0.59,78
11287,Male,Consultant,6.42,10.16,6.27,1.15,82
11288,Female,Scientist,7.55,5.24,8.21,3,85
11289,Female,Healthcare Worker,9.08,3.66,10.14,1.12,81
11290,Male,Freelancer,5.81,6.57,8.62,3,79
11291,Female,Scientist,9.78,5.65,6.48,2.09,77
11292,Female,Entrepreneur,15.31,1,6.2,1.49,60
11293,Female,Manual Laborer,11.45,3.92,7.99,0.64,73
11294,Male,Driver,10.7,6.2,4.68,2.42,90
11295,Female,Scientist,7.52,11.94,3.53,1.02,95
11296,Male,Office Worker,9.33,8.19,3.93,2.56,89
11297,Female,Artist,7.88,10.42,5.26,0.43,76
11298,Female,Teacher,7.64,5.49,9.19,1.68,75
11299,Male,Consultant,8.06,9.76,5.57,0.6,91
11300,Male,Driver,9.04,4.89,8.36,1.71,85
11301,Male,Teacher,7.33,9.16,6.6,0.9,85
11302,Female,Retail Worker,7.81,9.25,5.11,1.83,81
11303,Male,Teacher,7.45,9.78,6.76,0,90
11304,Female,Teacher,7.58,6.37,8.96,1.09,71
11305,Female,Technician,7.78,8.66,7.56,0,78
11306,Female,Office Worker,8.87,2.23,9.94,2.96,86
11307,Male,Technician,8.9,5.05,7.22,2.83,89
11308,Female,Teacher,6.08,9.64,6.88,1.4,83
11309,Male,Teacher,8.99,5.47,8.03,1.51,85
11310,Female,Consultant,8.89,6.31,8.81,0,78
11311,Male,Teacher,7.12,7.41,8.83,0.63,84
11312,Male,Teacher,7.62,12.93,3.45,0,81
11313,Female,Entrepreneur,12,3.56,5.75,2.69,87
11314,Female,Technician,7.24,5.54,8.77,2.45,84
11315,Female,Healthcare Worker,11.39,1.94,8.27,2.39,85
11316,Male,Office Worker,7.63,8.22,6.75,1.39,80
11317,Male,Teacher,8.98,6.27,5.75,3,74
11318,Female,Freelancer,9.25,4.34,8.1,2.31,89
11319,Female,Entrepreneur,13.41,1,6.59,3,76
11320,Male,Healthcare Worker,9.17,6.28,6.67,1.89,84
11321,Female,Manual Laborer,10.17,4.56,9.14,0.13,76
11322,Male,Office Worker,8.27,5.84,7.34,2.55,89
11323,Male,Scientist,8.88,3.7,8.86,2.55,78
11324,Female,Entrepreneur,12.22,1.48,9.33,0.97,82
11325,Female,Driver,8.2,7.41,8.39,0,78
11326,Female,Healthcare Worker,11.72,5,6.98,0.29,70
11327,Male,Healthcare Worker,10.09,2.74,8.75,2.41,70
11328,Female,Office Worker,9.3,3.67,8.73,2.3,85
11329,Male,Teacher,8.13,7.26,6.72,1.89,70
11330,Male,Scientist,8.86,5.11,8.36,1.68,82
11331,Male,Freelancer,6.2,10.23,5.83,1.75,86
11332,Male,Teacher,8.47,6.17,7.33,2.02,87
11333,Male,Manual Laborer,9.03,6.53,6.49,1.95,89
11334,Female,Technician,8.22,9.3,6.44,0.04,86
11335,Male,Healthcare Worker,18.61,3.03,2.36,0,54
11336,Male,Teacher,8.4,4.81,8.75,2.05,100
11337,Male,Manual Laborer,10.13,3.33,7.54,3,76
11338,Female,Manager,11.12,6.02,5.93,0.93,81
11339,Female,Freelancer,10.49,7.73,5.22,0.56,72
11340,Female,Teacher,7.06,4.81,10.31,1.82,100
11341,Male,Consultant,8.59,8.49,6.92,0,88
11342,Male,Teacher,7.05,6.16,8.01,2.78,94
11343,Female,Entrepreneur,10.19,4.51,8.92,0.37,81
11344,Male,Manager,11.1,5.52,5.77,1.6,68
11345,Female,Teacher,7.56,4.93,9.51,2,71
11346,Female,Healthcare Worker,11.34,2,7.67,3,88
11347,Female,Entrepreneur,12.9,2.39,5.72,3,74
11348,Female,Scientist,9.36,8.53,5.81,0.3,69
11349,Male,Artist,8.78,4.11,8.11,3,87
11350,Female,Healthcare Worker,9.38,5.67,6.77,2.19,94
11351,Female,Manual Laborer,10.7,3.58,7.48,2.24,87
11352,Male,Artist,8.76,10.37,4.77,0.09,73
11353,Female,Artist,6.73,6.95,9.95,0.37,70
11354,Male,Manager,8.45,6.04,7.88,1.64,85
11355,Female,Scientist,8.38,5.79,7.85,1.98,98
11356,Male,Manual Laborer,9.63,6.26,7.28,0.84,82
11357,Male,Artist,21.66,0.65,1.69,0,25
11358,Female,Technician,7.2,11.03,5.37,0.41,89
11359,Male,Entrepreneur,10.87,6.13,6.32,0.67,73
11360,Male,Driver,11.08,1.69,8.42,2.81,72
11361,Male,Manual Laborer,9.14,2.52,11.82,0.52,54
11362,Male,Artist,9.49,5.9,8.18,0.42,82
11363,Male,Retail Worker,8.7,7.42,6.76,1.12,86
11364,Female,Retail Worker,1.03,3.87,18.89,0.22,48
11365,Female,Manager,13.83,1.1,6.53,2.53,68
11366,Female,Manual Laborer,9.98,4.02,7,3,88
11367,Male,Manager,8.41,10.7,4.12,0.77,100
11368,Female,Artist,5.92,9.82,5.7,2.56,95
11369,Male,Healthcare Worker,8.03,5.28,9.34,1.36,71
11370,Female,Technician,7.32,5.95,8.46,2.26,91
11371,Female,Technician,7.14,9.39,4.99,2.49,80
11372,Female,Healthcare Worker,10.14,3.02,8.86,1.98,72
11373,Female,Office Worker,8.04,8.39,5.17,2.4,96
11374,Male,Engineer,9.39,7.67,6.46,0.48,72
11375,Female,Entrepreneur,10.33,5.36,7.88,0.43,84
11376,Female,Manual Laborer,11.92,1.91,7.17,3,84
11377,Male,Engineer,7.71,7.47,8.53,0.29,80
11378,Male,Entrepreneur,0.05,20.2,2.88,0.87,76
11379,Male,Office Worker,9.04,4.13,9.23,1.59,71
11380,Male,Artist,4.13,12.56,7.31,0,88
11381,Female,Engineer,9.26,7.07,7.48,0.19,92
11382,Male,Healthcare Worker,8.68,5.82,8.09,1.41,89
11383,Female,Consultant,6.67,8.51,5.83,2.99,89
11384,Male,Retail Worker,8.19,6.98,6.55,2.28,87
11385,Female,Manager,13.17,1,9.03,0.8,67
11386,Female,Office Worker,8.59,4.22,9.18,2.01,80
11387,Female,Manual Laborer,8.14,4.78,9.71,1.37,83
11388,Male,Entrepreneur,11.42,1.32,8.26,3,64
11389,Female,Office Worker,0.27,22.67,0.21,0.85,85
11390,Male,Artist,7.99,7.25,8.76,0,74
11391,Female,Artist,6.53,9.12,8.34,0,79
11392,Male,Consultant,9.59,6.68,6.31,1.41,73
11393,Male,Scientist,7.22,5.03,8.8,2.95,79
11394,Female,Artist,4.35,13.56,5.31,0.78,80
11395,Female,Retail Worker,6.94,7.08,7.74,2.24,79
11396,Female,Artist,4.74,7.5,10.25,1.51,80
11397,Female,Manager,11.69,5.66,6.65,0,61
11398,Male,Technician,8.11,6.61,7.2,2.08,77
11399,Female,Teacher,8,5.62,7.38,3,89
11400,Male,Manager,11.91,2.07,8.46,1.57,71
11401,Male,Artist,6.64,6.91,8.6,1.85,90
11402,Male,Freelancer,6.5,8.71,5.79,3,98
11403,Male,Scientist,10.94,5.31,7.75,0,93
11404,Male,Scientist,10.08,1,9.92,3,74
11405,Male,Healthcare Worker,9.54,5.22,6.85,2.4,100
11406,Female,Healthcare Worker,9.04,7.65,5.83,1.48,93
11407,Male,Retail Worker,9.07,5.7,6.99,2.25,92
11408,Female,Freelancer,9.9,6.15,6.02,1.93,92
11409,Male,Healthcare Worker,10.28,4.11,6.97,2.63,98
11410,Male,Freelancer,8.16,5.69,7.65,2.51,83
11411,Male,Retail Worker,9.71,5.53,6.95,1.81,83
11412,Female,Freelancer,7.21,4.09,11.48,1.22,72
11413,Female,Consultant,7.49,8.55,7.58,0.38,67
11414,Male,Healthcare Worker,10.09,1.77,9.28,2.85,70
11415,Male,Engineer,7.83,8.3,7.44,0.43,71
11416,Male,Office Worker,8.47,8.47,4.47,2.59,97
11417,Male,Engineer,8.76,8.77,5.72,0.75,80
11418,Female,Manual Laborer,10.74,6.76,5.56,0.94,77
11419,Female,Scientist,8.38,8.07,6.95,0.6,87
11420,Female,Technician,9.55,5.13,7.21,2.12,79
11421,Female,Freelancer,8.28,6.93,7.45,1.33,85
11422,Female,Manual Laborer,9.55,3.08,8.46,2.9,92
11423,Female,Retail Worker,6.74,8.95,7.19,1.13,94
11424,Female,Healthcare Worker,8.87,8.25,5.49,1.39,73
11425,Female,Healthcare Worker,8.84,6.76,7.9,0.5,79
11426,Female,Technician,9.99,7.93,6.05,0.03,82
11427,Female,Freelancer,10.56,3.63,8.73,1.08,67
11428,Male,Entrepreneur,15.79,1.42,5.62,1.16,69
11429,Male,Engineer,9.54,2.91,9.86,1.7,62
11430,Male,Technician,9.24,8.09,4.68,1.99,89
11431,Female,Office Worker,7.48,10.16,6.36,0,87
11432,Female,Entrepreneur,13.76,1,6.36,2.87,96
11433,Male,Teacher,7.43,8.11,8.46,0,85
11434,Male,Scientist,9.11,3.63,8.76,2.5,60
11435,Male,Artist,5.27,6.36,9.97,2.39,78
11436,Female,Scientist,7.33,7.92,7.92,0.83,94
11437,Female,Freelancer,6.47,8.65,6.47,2.42,96
11438,Female,Scientist,8.53,5.2,8.49,1.77,78
11439,Male,Retail Worker,9.98,7.31,6.1,0.61,76
11440,Female,Freelancer,10.87,3.8,6.32,3,92
11441,Female,Technician,9.79,3.84,8.49,1.88,78
11442,Male,Teacher,7.05,9.41,4.6,2.94,90
11443,Male,Consultant,10.06,5.68,7.72,0.53,87
11444,Male,Manual Laborer,11.64,4.49,6.96,0.91,70
11445,Male,Driver,11.31,2.84,6.86,3,82
11446,Male,Manual Laborer,11.28,5.46,5.52,1.74,73
11447,Male,Retail Worker,9.53,3.57,9.07,1.84,69
11448,Male,Teacher,6.79,9.39,7.57,0.26,79
11449,Male,Technician,8.05,7.75,6.4,1.79,97
11450,Female,Consultant,6.71,10.05,5.14,2.09,100
11451,Male,Manual Laborer,9.64,5.48,8.47,0.41,88
11452,Male,Healthcare Worker,8.01,2.92,11.48,1.59,67
11453,Female,Entrepreneur,19.86,1.3,2.84,0,49
11454,Female,Entrepreneur,14.96,1,6.06,1.98,68
11455,Male,Freelancer,11.03,2.41,8.68,1.88,69
11456,Female,Scientist,7.29,7.91,7,1.8,93
11457,Female,Driver,10.77,4.32,7.25,1.67,80
11458,Male,Artist,4.41,13.2,6.39,0,85
11459,Male,Freelancer,5.16,9.19,7.83,1.82,95
11460,Male,Engineer,7.78,6.68,7.74,1.8,83
11461,Female,Retail Worker,7.68,3.71,9.61,3,73
11462,Male,Healthcare Worker,11.28,1,9.24,2.48,63
11463,Female,Office Worker,0.61,20.24,0.91,2.24,77
11464,Male,Healthcare Worker,9.94,5.3,6.41,2.35,88
11465,Male,Manager,12.65,1,8.23,2.11,71
11466,Male,Engineer,8.6,7.9,7.1,0.4,89
11467,Female,Technician,8.98,5.58,7.69,1.75,80
11468,Male,Entrepreneur,13.48,3.77,5.9,0.85,64
11469,Female,Scientist,9.75,4.73,6.52,3,79
11470,Female,Manager,8.44,8.68,6.45,0.43,70
11471,Female,Retail Worker,9.02,5.09,8.57,1.31,90
11472,Male,Consultant,10.75,3.43,7.49,2.33,77
11473,Male,Retail Worker,9.32,4.46,7.42,2.8,83
11474,Female,Retail Worker,9.35,6.49,5.16,3,81
11475,Female,Teacher,7.37,6.64,9.04,0.96,89
11476,Female,Healthcare Worker,10.73,5.19,6.99,1.09,85
11477,Male,Entrepreneur,15.06,1.1,6.54,1.3,75
11478,Female,Office Worker,9.26,2.57,11.03,1.15,67
11479,Female,Scientist,8.23,7.23,7.35,1.19,80
11480,Male,Driver,11.6,3.11,7.36,1.93,64
11481,Female,Manual Laborer,9.81,6.97,4.33,2.88,100
11482,Female,Manager,12.66,3.57,7.15,0.62,80
11483,Male,Driver,9.71,3.21,10.31,0.77,80
11484,Male,Office Worker,8.58,8.9,4.18,2.35,83
11485,Female,Consultant,6.08,7.99,7.89,2.04,91
11486,Female,Engineer,8.93,6.48,6.45,2.14,81
11487,Male,Artist,5.05,10.96,7.6,0.39,98
11488,Male,Healthcare Worker,11.97,3.9,6.66,1.47,68
11489,Female,Engineer,7.45,4.74,8.81,3,72
11490,Female,Manual Laborer,10.41,1,11.33,1.26,60
11491,Male,Scientist,7.26,10.07,6.65,0.02,91
11492,Male,Driver,8.34,7.39,7.87,0.4,91
11493,Male,Freelancer,5.97,6.82,11.19,0.02,66
11494,Male,Retail Worker,7.02,5.75,10.53,0.7,75
11495,Female,Retail Worker,6.85,5.7,10.27,1.18,76
11496,Male,Retail Worker,8.72,5.26,7.77,2.26,79
11497,Male,Artist,9.86,7.1,7.04,0,75
11498,Male,Driver,9.67,7.7,4.7,1.93,93
11499,Female,Manager,2.3,17.01,1.56,3.13,94
11500,Male,Healthcare Worker,8.55,5.56,7.96,1.93,100
11501,Female,Consultant,8.24,7.17,5.77,2.82,92
11502,Female,Teacher,8.56,7.87,7.57,0,88
11503,Female,Freelancer,11.32,1.66,8.5,2.52,91
11504,Male,Technician,8.55,5.32,8.03,2.1,80
11505,Female,Freelancer,6.85,6.64,8.71,1.81,92
11506,Male,Freelancer,10.98,5.47,4.99,2.55,85
11507,Female,Technician,8.64,6.89,7.38,1.08,79
11508,Female,Scientist,9.39,6.27,8.16,0.18,74
11509,Female,Driver,9.32,3.75,8.63,2.3,69
11510,Male,Manager,12.68,2.21,7.74,1.37,86
11511,Male,Artist,6.28,6.12,8.89,2.72,94
11512,Female,Manager,11.69,3.6,5.93,2.78,65
11513,Female,Retail Worker,6.98,8.26,6.36,2.4,95
11514,Female,Office Worker,9.62,6.99,6.74,0.66,100
11515,Male,Manager,9.06,3.27,8.92,2.75,80
11516,Male,Healthcare Worker,8.79,6.21,7.65,1.35,74
11517,Female,Freelancer,11.85,2.79,8.48,0.87,68
11518,Female,Freelancer,11.89,1,10.35,0.76,63
11519,Female,Entrepreneur,15.96,1,4.04,3,65
11520,Male,Artist,8.79,9.39,4.8,1.02,81
11521,Male,Scientist,8.63,5.15,7.81,2.41,100
11522,Female,Technician,9.34,6.1,5.96,2.59,88
11523,Female,Artist,8.5,8.04,6.85,0.61,91
11524,Female,Manager,10.62,2.54,10.57,0.27,71
11525,Male,Scientist,7.88,4.91,11.2,0.01,71
11526,Female,Healthcare Worker,9.03,4.71,9.11,1.14,89
11527,Female,Manager,13.58,4.06,6.36,0,78
11528,Male,Retail Worker,7.73,7.8,6.53,1.95,80
11529,Female,Manager,11.9,4.61,6.7,0.79,71
11530,Female,Artist,7.79,6.74,7.84,1.63,87
11531,Male,Healthcare Worker,8.33,4.83,8.08,2.75,80
11532,Female,Teacher,6.67,7.26,7.07,3,89
11533,Female,Technician,8.48,7.09,6.23,2.2,74
11534,Male,Driver,11.35,3.93,5.72,3,88
11535,Female,Teacher,7.78,10.3,5.92,0,82
11536,Male,Manager,8.47,6.7,6.2,2.63,89
11537,Male,Teacher,8.08,4.22,8.71,3,93
11538,Female,Entrepreneur,14.88,1,6.62,1.49,74
11539,Male,Technician,9.28,5.8,8.09,0.82,69
11540,Male,Artist,7.18,7.06,8.39,1.37,78
11541,Male,Driver,10.15,2.8,8.67,2.38,90
11542,Female,Technician,8.58,8.08,5.82,1.52,89
11543,Female,Artist,8.52,6.26,7.64,1.58,87
11544,Male,Freelancer,9.61,3.54,8.15,2.69,88
11545,Male,Manager,11.36,4.81,7.81,0.03,63
11546,Female,Driver,10.26,2.64,8.1,3,91
11547,Female,Driver,11.8,5.22,5.62,1.35,79
11548,Female,Technician,8.1,5.07,8.78,2.04,86
11549,Male,Retail Worker,8.69,5.75,8.67,0.9,89
11550,Female,Engineer,7.12,8.48,7.32,1.08,79
11551,Female,Technician,7.32,10.63,3.14,2.91,86
11552,Female,Retail Worker,7.24,11.52,5.03,0.21,90
11553,Female,Driver,9.69,1.58,10.19,2.53,73
11554,Female,Technician,7.11,4.69,10.42,1.77,70
11555,Female,Entrepreneur,13.2,1.39,6.89,2.51,57
11556,Male,Manager,8.01,6.92,8.31,0.76,86
11557,Female,Engineer,9.62,2.07,9.64,2.67,62
11558,Female,Teacher,8.03,10.15,5.46,0.36,71
11559,Female,Artist,5.35,9.93,6.97,1.75,98
11560,Male,Engineer,7.49,6.91,7.45,2.16,91
11561,Female,Teacher,6.23,10.41,7.02,0.34,87
11562,Male,Scientist,3.98,1.87,17.32,0.84,51
11563,Male,Freelancer,6.07,5.89,10.24,1.79,71
11564,Female,Teacher,6.71,8.6,8.37,0.32,81
11565,Male,Freelancer,5.07,12.07,6.15,0.7,88
11566,Female,Entrepreneur,15.06,1,6.93,1.01,64
11567,Female,Office Worker,9.49,7.58,3.93,3,80
11568,Female,Driver,8.19,5.39,7.42,3,100
11569,Female,Technician,9.53,4.33,8.31,1.83,81
11570,Female,Artist,8.17,5.84,7.65,2.33,91
11571,Female,Healthcare Worker,8.78,4.94,7.57,2.72,83
11572,Male,Entrepreneur,11,3.02,8.26,1.72,77
11573,Female,Technician,9.89,5.65,6.37,2.09,76
11574,Female,Driver,10.5,5.49,6.77,1.24,88
11575,Female,Office Worker,9.02,7.35,5.26,2.38,84
11576,Male,Scientist,9.38,3.7,8.14,2.78,94
11577,Female,Driver,9.08,5.35,8.9,0.67,78
11578,Male,Engineer,7,6.93,8.65,1.42,86
11579,Female,Driver,9.83,5.15,7.69,1.33,76
11580,Male,Freelancer,11.16,5.37,7.47,0,78
11581,Male,Office Worker,8.56,7.12,5.32,3,80
11582,Female,Retail Worker,8.6,5.05,9.8,0.55,75
11583,Male,Retail Worker,6.86,6.55,9,1.59,83
11584,Male,Teacher,6.7,5.35,10.34,1.62,66
11585,Female,Scientist,10.39,1,9.69,2.93,74
11586,Male,Manager,9.87,3.63,7.5,3,86
11587,Female,Consultant,11.69,1.75,8.96,1.6,73
11588,Male,Manual Laborer,9.46,5.42,6.17,2.95,67
11589,Female,Healthcare Worker,11.83,3.82,5.97,2.37,74
11590,Male,Office Worker,8.87,6.37,6.15,2.61,78
11591,Male,Retail Worker,7.58,3.52,10.23,2.66,78
11592,Male,Manual Laborer,11.55,1.91,10.48,0.07,71
11593,Female,Manual Laborer,8.9,6.03,7.03,2.04,100
11594,Male,Consultant,10.72,4.39,8.48,0.4,82
11595,Male,Artist,5.37,10.58,7.46,0.59,83
11596,Female,Freelancer,10.64,2.46,7.9,3,82
11597,Female,Office Worker,9.57,8.14,6.29,0,72
11598,Male,Retail Worker,9.75,2.73,8.93,2.59,77
11599,Female,Retail Worker,9.57,3.31,9.93,1.19,74
11600,Female,Office Worker,8.81,6.86,7.2,1.13,87
11601,Female,Retail Worker,8.04,7.87,6,2.09,87
11602,Female,Driver,9.01,4.14,8.5,2.35,84
11603,Female,Healthcare Worker,10.19,4.87,7.43,1.51,83
11604,Male,Manual Laborer,10.47,1.68,9.87,1.98,71
11605,Female,Consultant,10.53,4.24,6.57,2.66,91
11606,Female,Entrepreneur,14.18,1,6.1,2.72,69
11607,Female,Teacher,7.67,9.14,7.19,0,82
11608,Female,Retail Worker,7.84,5.51,8.6,2.05,80
11609,Male,Consultant,6.24,7.6,9.27,0.88,72
11610,Female,Manual Laborer,10.46,3.99,8.47,1.08,66
11611,Male,Healthcare Worker,10.63,4.48,7.21,1.68,68
11612,Male,Entrepreneur,11.7,1.96,8.11,2.23,91
11613,Female,Teacher,7.74,6.89,6.37,3,94
11614,Female,Technician,9.46,5.57,6.85,2.12,89
11615,Male,Teacher,8.57,7.8,5.5,2.13,78
11616,Male,Entrepreneur,11.01,3.28,9.36,0.35,72
11617,Female,Consultant,7.36,8.51,8.13,0,86
11618,Female,Technician,8.59,9.02,5.67,0.73,83
11619,Female,Engineer,7.55,8.87,5.81,1.77,91
11620,Female,Office Worker,8.2,4.28,8.68,2.84,83
11621,Female,Teacher,6.21,8.91,6.58,2.3,98
11622,Female,Artist,5.03,11.5,4.56,2.91,85
11623,Male,Freelancer,5.43,8.49,7.5,2.58,88
11624,Female,Entrepreneur,11.53,1,9.1,2.37,83
11625,Male,Engineer,9.99,6,6.73,1.28,75
11626,Male,Manual Laborer,11.63,2.37,7.94,2.06,74
11627,Female,Manager,13.27,1.37,8.72,0.64,79
11628,Female,Technician,9.44,4.12,9.25,1.19,75
11629,Male,Freelancer,5.39,10.07,8.07,0.47,87
11630,Female,Retail Worker,7.84,5.95,8.17,2.04,99
11631,Male,Manual Laborer,8.33,7.7,7.97,0,90
11632,Female,Entrepreneur,14.81,1,6.62,1.57,79
11633,Female,Engineer,7.53,7.57,8.1,0.8,62
11634,Male,Retail Worker,8.46,7.61,5.87,2.06,89
11635,Male,Scientist,10.64,5.59,6.87,0.89,70
11636,Male,Entrepreneur,15.05,1,4.95,3,78
11637,Female,Driver,11.93,1.58,8.51,1.98,81
11638,Male,Entrepreneur,13.8,1,8.67,0.54,63
11639,Male,Retail Worker,9.22,8.51,5.88,0.39,84
11640,Female,Engineer,8.65,3.55,8.85,2.95,78
11641,Female,Engineer,7.46,7.55,7.46,1.53,91
11642,Male,Artist,9.71,5.47,8.82,0,78
11643,Male,Teacher,6.46,9.03,5.51,3,100
11644,Male,Entrepreneur,13.18,3.99,5.39,1.44,76
11645,Male,Healthcare Worker,8.35,3.59,9.06,3,81
11646,Female,Technician,9.23,5.84,8.06,0.87,90
11647,Male,Manual Laborer,8.04,6.74,9.07,0.16,78
11648,Male,Scientist,8.69,7.66,5.23,2.42,61
11649,Male,Manual Laborer,9.53,8.04,5.74,0.69,75
11650,Male,Manual Laborer,11,5.79,6.46,0.75,82
11651,Male,Engineer,9.38,7.59,7.03,0,74
11652,Female,Teacher,7.9,4.94,9.43,1.72,88
11653,Male,Consultant,8.77,7.96,6.07,1.2,87
11654,Male,Entrepreneur,13.42,1,8.95,0.63,67
11655,Male,Artist,5.86,11.19,6.95,0,88
11656,Female,Office Worker,9.72,4.54,7.49,2.25,69
11657,Male,Entrepreneur,11.59,5.64,5.33,1.43,85
11658,Male,Engineer,8.51,4.25,8.91,2.33,89
11659,Male,Entrepreneur,15.78,1,5.62,1.6,56
11660,Female,Artist,7.38,5.57,9.02,2.03,89
11661,Male,Engineer,8.47,5.28,9.96,0.29,70
11662,Female,Manager,11.16,3.59,8.87,0.38,79
11663,Male,Healthcare Worker,8.88,4.16,7.95,3,86
11664,Female,Scientist,9.42,7.57,6.4,0.62,92
11665,Female,Artist,8.98,2.76,10.98,1.28,74
11666,Male,Teacher,8.12,6.36,8.34,1.18,82
11667,Male,Artist,7.44,7.11,7.17,2.27,85
11668,Male,Engineer,7.45,9.01,7.24,0.3,78
11669,Female,Artist,8.11,3.39,11.52,0.98,62
11670,Female,Entrepreneur,13.07,1.97,6.55,2.42,76
11671,Female,Technician,8.78,6.98,6.81,1.42,89
11672,Female,Freelancer,11.34,1.09,9.17,2.4,71
11673,Female,Office Worker,8.88,4.91,7.41,2.8,80
11674,Male,Freelancer,8.79,2.72,10.72,1.76,76
11675,Male,Manual Laborer,10.23,7.61,5.08,1.08,74
11676,Male,Manager,11.28,2.19,9.46,1.07,77
11677,Female,Freelancer,8.06,6.7,7.69,1.55,90
11678,Male,Office Worker,7.9,5.52,8,2.58,76
11679,Female,Technician,7.24,9.21,7.55,0,95
11680,Female,Manual Laborer,9.36,5.81,8.47,0.36,63
11681,Male,Engineer,6.68,1.98,14.48,0.87,53
11682,Female,Engineer,7.27,7.31,8.49,0.93,80
11683,Male,Entrepreneur,13.29,1,7.31,2.41,69
11684,Female,Freelancer,1.8,6.45,15.42,0.33,85
11685,Male,Driver,11.82,2.79,8.12,1.27,74
11686,Female,Artist,7.86,7.48,6.46,2.2,100
11687,Male,Teacher,7.74,4.47,8.79,3,95
11688,Male,Manager,12.43,2.4,9.09,0.08,76
11689,Female,Healthcare Worker,11.44,3.6,8.08,0.89,79
11690,Female,Consultant,6.43,7.71,8.7,1.15,92
11691,Male,Scientist,9.53,8.29,5.94,0.23,71
11692,Male,Engineer,2.98,3.58,17.19,0.25,48
11693,Male,Teacher,6.1,7.29,8.01,2.6,82
11694,Male,Engineer,7.1,5.84,10.14,0.92,81
11695,Female,Scientist,10.14,6.16,6.89,0.81,81
11696,Female,Freelancer,7.99,8.55,7.46,0,78
11697,Female,Healthcare Worker,8.93,3.8,8.27,3,85
11698,Male,Manager,0.06,23.52,0.05,0.37,56
11699,Female,Manual Laborer,9.52,5.5,8.08,0.9,80
11700,Male,Manual Laborer,10.01,2.11,8.88,3,77
11701,Male,Consultant,9.64,5.87,6.83,1.67,79
11702,Male,Consultant,6.19,8.75,7.39,1.67,89
11703,Female,Retail Worker,8.93,7.51,6.41,1.14,81
11704,Female,Retail Worker,8.45,5.57,7.02,2.96,87
11705,Female,Teacher,7.41,7.82,6.41,2.35,77
11706,Female,Entrepreneur,12.81,1.95,8.81,0.43,78
11707,Female,Manual Laborer,9.86,3.63,8.53,1.99,87
11708,Male,Healthcare Worker,10.72,5.44,6.15,1.69,64
11709,Female,Driver,10.81,3.85,6.89,2.45,76
11710,Female,Freelancer,9.57,6.16,8.27,0,90
11711,Male,Manager,10.37,1.34,9.35,2.94,69
11712,Female,Driver,0.36,23.16,0.21,0.26,79
11713,Female,Teacher,8.71,5.56,7.87,1.86,82
11714,Female,Scientist,10.1,4.48,7.03,2.39,100
11715,Male,Artist,5.98,9.71,7.24,1.07,95
11716,Female,Consultant,10.86,6.12,6.21,0.82,75
11717,Female,Office Worker,0.24,19.7,0.04,4.02,73
11718,Male,Freelancer,9.47,5.57,6.99,1.97,82
11719,Male,Office Worker,8.44,6.86,7.21,1.49,83
11720,Male,Artist,9.76,5.39,8.85,0,76
11721,Female,Artist,9.51,6.16,6.74,1.59,93
11722,Female,Office Worker,7.31,4.21,10.06,2.42,83
11723,Male,Office Worker,9.85,2.09,9.64,2.42,75
11724,Female,Entrepreneur,15.63,1,7.37,0,69
11725,Male,Driver,8.44,4.95,8.54,2.08,85
11726,Female,Consultant,9.89,5.66,8.16,0.29,73
11727,Male,Retail Worker,9.09,5.43,8.25,1.22,61
11728,Male,Freelancer,10.41,4.06,9.53,0,73
11729,Male,Retail Worker,7.19,9.29,6.69,0.83,95
11730,Male,Entrepreneur,15.53,1,6.7,0.77,67
11731,Female,Driver,9.69,5.13,8.15,1.02,78
11732,Female,Freelancer,7.99,6.55,8.43,1.03,96
11733,Male,Technician,8.98,6.76,8.26,0,76
11734,Female,Scientist,8.7,7.89,6.76,0.65,83
11735,Male,Freelancer,9.46,5.07,8.83,0.65,65
11736,Female,Healthcare Worker,8.93,5.95,8.38,0.74,90
11737,Female,Office Worker,9.55,3.79,9.46,1.2,94
11738,Female,Teacher,7.3,10.78,5.73,0.19,74
11739,Male,Healthcare Worker,11.38,1.99,9.25,1.38,57
11740,Male,Teacher,2.4,16.32,1.03,4.25,87
11741,Female,Entrepreneur,10.35,3.18,7.61,2.87,76
11742,Female,Engineer,8.88,4.64,7.47,3,93
11743,Male,Driver,10.28,5.16,8.34,0.22,69
11744,Female,Entrepreneur,12.7,5.66,4.97,0.67,68
11745,Male,Technician,8.56,7.98,6.15,1.31,74
11746,Female,Teacher,6.58,6.26,8.15,3,88
11747,Male,Technician,7.88,8.25,7.87,0,89
11748,Male,Artist,4.25,7.48,10.22,2.04,93
11749,Male,Manual Laborer,11.21,3.97,7.67,1.15,71
11750,Female,Teacher,8.16,6.37,7.03,2.44,99
11751,Male,Manager,10.75,6.87,5.77,0.61,84
11752,Female,Manager,13.5,1,6.6,2.9,76
11753,Female,Entrepreneur,14.34,1,6.77,1.88,75
11754,Male,Teacher,6.71,5.69,9.64,1.96,83
11755,Male,Technician,8.11,7.02,8.88,0,77
11756,Female,Freelancer,10.23,7.33,5.39,1.05,81
11757,Female,Driver,8.63,5.79,7.94,1.64,76
11758,Male,Retail Worker,8.32,7.68,6,1.99,90
11759,Female,Consultant,10.27,3.48,9.52,0.72,71
11760,Female,Scientist,8.74,8.04,5.19,2.03,86
